feature,importance
judge_qwen2.5-72b-instruct-turbo_verdicts,0.20937092838354912
judge_gpt-4o_verdicts,0.12151922381859143
internlm_scores,0.10131625537227827
judge_claude-3-5-sonnet-latest_verdicts,0.08580630121812366
urm_scores,0.06732898609979597
armor_rm_correctness,0.0504810549975779
armor_rm_coherence,0.035371751972844645
judge_llama-3.3-70b-instruct-turbo_verdicts,0.03424020263869673
armor_rm_verbosity,0.031432158923194634
offset_bias_scores,0.030564520069708976
armor_rm_helpfulness,0.02830960261450535
armor_rm_score,0.026327745774592484
qrm_scores,0.026318219394834034
judge_meta-llama-3.1-405b-instruct-turbo_verdicts,0.025065772715616923
grm_llama32_scores,0.021257445043403114
judge_qwen2-72b-instruct_verdicts,0.02116302187917496
armor_rm_complexity,0.017385276873861533
grm_gemma_scores,0.016526254731683402
skyworks_scores,0.015811733989066778
gpm_scores,0.014449712218984449
grm_scores,0.012876805398196177
judge_gemma-2-27b-it_verdicts,0.004276093686011235
judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts,0.0027964311318466016
judge_llama-3.1-nemotron-70b-instruct-hf_verdicts,4.5010538617163165e-06
judge_qwq-32b-preview_verdicts,0.0
